#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
15200.00000126165,-14298.905176332883,2724.5804293474484,301.0488789535501,11.02137353322695,0.9878550353445874
15300.000001282022,-14268.390168256563,2813.350263866734,310.85738336731913,11.010403062978012,0.9888393076017902
15400.000001302395,-14210.946391124067,2781.0984029941897,307.29375703599044,11.050595094602508,0.9852428080121809
15500.000001322767,-14537.2081761738,2712.829445079717,299.75046962699975,11.05038589285337,0.9852614602584248
15600.00000134314,-14479.270699291308,2638.129764812296,291.49662813255657,10.659495549332888,1.0213916119035475
15700.000001363513,-14147.735148034371,2832.8001412335366,313.00647161371097,11.37450467502729,0.9571862381942084
15800.000001383885,-14444.494945246668,2836.6354553359897,313.43024952774925,11.056516538720459,0.9847151499374315
15900.000001404258,-14065.880088066551,2690.0333750141467,297.23164828340293,10.983188249727238,0.9912895139061461
16000.00000142463,-14247.621275927304,2798.9276686992034,309.2637779593019,10.973308945725872,0.9921819749231175
16100.000001445003,-14288.503949776583,2684.8911409579355,296.6634639929836,10.898700344049535,0.9989740976001938
16200.000001465376,-14385.311222070908,2753.102317828921,304.2003669626752,10.837472951539244,1.0046179021526838
16300.000001485749,-14197.827320382086,2807.990697171271,310.2651851969269,11.332098550872804,0.960768148312057
16400.00000150612,-14193.331606013111,2788.5946032674815,308.12203968251384,11.083866492312163,0.9822853197269616
16500.000001526492,-14314.592850014844,2754.1136643781524,304.31211435012625,10.869809525399662,1.0016292664347763
16600.000001546865,-14249.476393243502,2729.246175232819,301.56441431934195,10.769546861050237,1.0109542659207174
16700.000001567238,-14309.264337441484,2817.102231131586,311.27195198375176,10.743781967543438,1.0133786569852772
16800.00000158761,-14222.116448422938,2594.158802464392,286.6381153212773,10.80088517059967,1.0080210250589423
16900.000001607983,-14272.41763198364,2595.1390976052176,286.7464317247904,10.811428878222362,1.0070379654573425
17000.000001628356,-14269.951907014547,2714.3734764201026,299.9210753096529,10.846388399310868,1.0037921324948638
17100.00000164873,-14266.378925983125,2730.9978798112747,301.7579665793236,10.696405464406228,1.0178671122220952
17200.0000016691,-14324.70420486937,2646.3202792792317,292.40162809943746,10.879263142694201,1.0007588931722045
17300.000001689474,-14217.211958025648,2679.378722628957,296.0543766853061,10.883123139251106,1.000403946725995
17400.000001709846,-14308.423033932762,2714.3698296661496,299.92067236644095,10.807108843846622,1.0074405188776248
17500.00000173022,-14366.967247852648,2740.461183967979,302.80360174460833,10.912762903959555,0.9976867853750779
17600.00000175059,-14191.353415543606,2836.2168708250533,313.38399859075815,10.675228782612253,1.0198862771864274
17700.000001770964,-14171.624127870418,2713.772144732001,299.85463196717257,11.0213900589883,0.9878535541288356
17800.000001791337,-14439.33617298003,2581.6105474945707,285.2516126323504,10.85298427455215,1.0031820802266005
17900.00000181171,-14303.202470069424,2718.9777351947228,300.42981673918865,10.694125813224598,1.0180840894678886
18000.000001832082,-14509.484574284274,2656.4132167785656,293.5168337607548,10.915285569795039,0.9974562068572842
18100.000001852455,-14125.550851433603,2753.235100204206,304.2150385740521,10.951363292621908,0.9941702279703284
18200.000001872828,-14119.920421796814,2780.85422001772,307.2667763638348,11.038654231081425,0.9863085765070829
18300.0000018932,-14266.639855946683,2761.5249162604086,305.1310107375344,10.894956547408304,0.9993173716513568
18400.000001913573,-14086.594470960052,2660.581591726909,293.97741278853465,10.887703099898017,0.9999831223643296
18500.000001933946,-14588.998401397504,2619.264844300263,289.412173913286,10.83446575559469,1.0048967421942074
18600.00000195432,-14394.101053938444,2667.810314603467,294.7761408770187,10.822128611418172,1.0060423168252357
18700.00000197469,-14497.328698537116,2738.392613790693,302.5750378430986,10.855968156126075,1.0029063446605568
18800.000001995064,-14231.612847045217,2730.5905843710184,301.7129630131336,10.706718581293794,1.0168866640647396
18900.000002015437,-14464.864024464143,2739.2065009187636,302.66496721529154,11.06681171186557,0.9837990945069094
19000.00000203581,-14101.789545402571,2653.3191818684886,293.1749625019405,11.101880221846692,0.980691479609638
19100.000002056182,-14404.997404659676,2792.0527289692386,308.5041406675245,11.04206902623771,0.9860035574258169
19200.000002076555,-14163.94815591535,2815.715803801972,311.1187605459674,10.927114632398538,0.9963764184307785
19300.000002096927,-14553.699811384948,2690.2446165267916,297.2549891324691,10.807294608132068,1.007423202197095
19400.0000021173,-14206.494694391848,2656.1752430796582,293.490539174438,11.201878073503869,0.9719369617996806
19500.000002137673,-14360.335894682634,2608.969899998474,288.27464777988234,10.915519471608516,0.9974348329944775
19600.000002158045,-14364.657870680385,2621.946326397257,289.70846069951506,10.87352536811594,1.0012869766356458
19700.000002178418,-14337.839571664423,2596.0808122696644,286.85048523004656,10.851290430132298,1.003338673064994
19800.00000219879,-14286.67992942778,2781.984624416717,307.391678889529,10.886406408794633,1.0001022313861327
19900.000002219163,-14237.793982525189,2810.7281209738258,310.56765318726525,10.944394069755715,0.9948033003763015
20000.000002239536,-14282.706604528845,2714.4035675910745,299.9244001934368,11.001185894656324,0.9896677908606446
20100.00000225991,-14353.931237428696,2692.7608535695263,297.5330173869252,10.709755247063663,1.0165983339532323
20200.00000228028,-14489.718356525584,2823.3979462891302,311.96758862929704,10.62163193821349,1.0250326319481786
20300.000002300654,-14228.315795917973,2797.538919999088,309.11033002478155,10.802022841321014,1.0079148601282109
20400.000002321027,-14414.095938562328,2669.2534020800226,294.935592902134,10.595519770405602,1.0275587774015382
20500.0000023414,-14397.965893278408,2658.6583019890422,293.7649014553213,10.96230303799241,0.9931781034950937
20600.000002361772,-14346.346007010718,2703.5494654667814,298.7250906625566,10.5442874680589,1.0325514525464747
20700.000002382145,-14247.934411849747,2888.3667454960423,319.14622940551504,10.728905873441256,1.014783750518605
20800.000002402518,-14331.749407735784,2618.7683892804826,289.35731877832796,10.678957329577559,1.019530184941988
20900.00000242289,-14212.83350368822,2655.0276248095192,293.36373462502166,10.678764257403124,1.0195486180588698
21000.000002443263,-14260.18692134894,2785.838915140417,307.8175536000101,10.997799331405561,0.989972540244589
21100.000002463636,-14035.631049861913,2616.525581573745,289.1095027334981,11.183442847991627,0.9735391407814131
21200.00000248401,-14405.13114929411,2615.196011337874,288.96259364441875,11.112569778220466,0.979748119336921
21300.00000250438,-14252.705869013036,2742.120809560765,302.9869798599354,10.7034922092939,1.017193185954591
21400.000002524754,-14272.69777404629,2768.762065920814,305.9306699322552,10.51775919933401,1.0351557907792004
21500.000002545126,-14416.482147459166,2652.2507690281104,293.05690965079657,10.626901721866354,1.0245243276136822
21600.0000025655,-14196.915302716268,2646.359116890043,292.40591940942045,11.161247826160599,0.9754751001669183
